1918201, 86300, 80200, 11099, 54500, 92100
38300, 62200, 38499, 1100, 34600, 41700
57800, 59199, 21500, 1500, 16401, 29599
43700, 37500, 19100, 1100, 20000, 20500
39301, 39400, 18800, 1200, 16400, 20000
38799, 30500, 20400, 1100, 16000, 33799
29800, 39300, 18801, 1099, 18299, 21900
31200, 43401, 22100, 1100, 27801, 28500
28401, 44300, 20801, 1200, 17700, 26801
24699, 43101, 19399, 1001, 18700, 26100
28900, 43400, 18700, 900, 16800, 27301
22400, 45199, 23000, 900, 28500, 33001
23700, 43600, 19399, 1100, 16100, 26100
17500, 39000, 16600, 900, 15001, 24499
22201, 44300, 18699, 1000, 15799, 24699
